STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,stk_flow,Stock or flow,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),partner,Geopolitical entity (partner),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,NL,Netherlands,2022,,248069895.46,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,NL,Netherlands,2023,,238594586.59,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2014,,34680354.26,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2015,,36448898.55,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2016,,36347582.31,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2017,,40267680.8,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2018,,42022696.87,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2019,,42968199.31,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2020,,37463686.79,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2021,,45093310.35,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2022,,55839198.61,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,PT,Portugal,2023,,53136481.11,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,F,Construction,WORLD,All countries of the world,AT,Austria,2014,,382556.28,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,F,Construction,WORLD,All countries of the world,AT,Austria,2015,,371926.1,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,F,Construction,WORLD,All countries of the world,AT,Austria,2016,,350792.28,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,F,Construction,WORLD,All countries of the world,AT,Austria,2017,,390057.48,,,,,
