country,sector,year,gva,hours,capital
NL,K,2002,33803.0,429078,52446.0
NL,K,2003,35672.0,417906,52706.0
NL,K,2004,36164.0,414089,52227.0
NL,K,2005,37327.0,406950,51692.0
NL,K,2006,37104.0,422071,51968.0
NL,K,2007,37202.0,423180,50975.0
NL,K,2008,36978.0,415144,51741.0
NL,K,2009,44177.0,407076,52582.0
NL,K,2010,51454.0,393880,51249.0
NL,K,2011,51549.0,388407,49625.0
NL,K,2012,54017.0,376898,47832.0
NL,K,2013,52022.0,368309,46561.0
NL,K,2014,55231.0,358857,44089.0
NL,K,2015,54915.0,347202,41903.0
NL,K,2016,52353.0,340308,41812.0
NL,K,2017,50940.0,326809,42926.0
NL,K,2018,50410.0,319927,44483.0
NL,K,2019,51649.0,318770,46818.0
NL,K,2020,52838.0,321693,49625.0
NL,K,2021,51072.0,328285,51835.0
NL,K,2022,51766.0,334717,55739.0
NL,K,2023,48271.0,340985,56761.0
PT,K,2000,6529.0,173657,8548.1
PT,K,2001,7607.2,163987,9183.0
PT,K,2002,7767.3,160386,10145.2
PT,K,2003,8215.0,155616,10690.0
PT,K,2004,8800.5,152658,11546.1
PT,K,2005,9008.2,152570,12031.2
PT,K,2006,10669.7,156071,13489.2
PT,K,2007,11674.0,162829,14362.0
PT,K,2008,12601.9,162215,15712.3
PT,K,2009,10955.1,168092,15846.6
PT,K,2010,10367.9,172509,16131.1
PT,K,2011,10755.4,174228,16064.9
PT,K,2012,9214.2,169617,15411.2
PT,K,2013,8203.3,166909,15104.6
PT,K,2014,7948.2,162331,14416.4
PT,K,2015,7861.2,156822,13243.9
PT,K,2016,8084.5,155016,12937.8
PT,K,2017,7968.0,150678,12573.4
PT,K,2018,8363.7,151669,12370.0
PT,K,2019,8909.7,155923,12152.6
PT,K,2020,9255.8,155130,12377.4
PT,K,2021,9604.2,155835,12457.9
PT,K,2022,11430.9,156554,12966.6
PT,K,2023,16582.6,158629,12831.2
AT,L,2000,14161.4,94808,324877.6
AT,L,2001,14751.9,89519,337102.3
AT,L,2002,15526.6,90499,348304.5
AT,L,2003,16298.2,98758,366220.1
AT,L,2004,17878.3,97568,382489.4
AT,L,2005,19488.5,112023,400021.9
AT,L,2006,20557.6,105630,422270.0
AT,L,2007,21233.7,112302,450464.7
AT,L,2008,21635.5,118234,476689.8
AT,L,2009,22145.5,113348,496613.3
AT,L,2010,23108.6,114799,518903.5
AT,L,2011,24341.9,113207,543316.4
AT,L,2012,25436.7,118908,565168.4
AT,L,2013,26676.5,116319,584700.9
AT,L,2014,27715.8,113452,603593.1
AT,L,2015,28934.9,113070,623528.3
AT,L,2016,30097.2,111291,644749.9
AT,L,2017,31749.8,110888,669862.3
AT,L,2018,33180.2,119891,699910.9
AT,L,2019,34265.4,120782,731485.5
AT,L,2020,35353.5,113191,777932.2
AT,L,2021,35461.4,118562,864580.0
AT,L,2022,36487.1,116742,947628.0
AT,L,2023,40253.1,114983,991478.6
DE,L,2000,206688.0,632507,3335140.0
DE,L,2001,217079.0,622242,3394420.0
DE,L,2002,223394.0,611463,3441043.0
DE,L,2003,223920.0,602916,3490903.0
DE,L,2004,225336.0,600354,3576529.0
DE,L,2005,232110.0,598447,3651019.0
DE,L,2006,245382.0,620334,3770692.0
DE,L,2007,257835.0,622034,4034691.0
DE,L,2008,267636.0,618635,4193647.0
DE,L,2009,263427.0,594505,4272261.0
DE,L,2010,264734.0,598952,4360409.0
DE,L,2011,281022.0,589440,4550836.0
DE,L,2012,276608.0,585304,4746520.0
DE,L,2013,287595.0,583427,4929694.0
DE,L,2014,293879.0,585633,5092553.0
DE,L,2015,304542.0,579409,5225776.0
DE,L,2016,311455.0,578423,5386058.0
DE,L,2017,317987.0,586683,5603505.0
DE,L,2018,322425.0,588646,5901879.0
DE,L,2019,329105.0,588254,6193512.0
DE,L,2020,333172.0,570034,6362744.0
DE,L,2021,339710.0,602344,6966552.0
