country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
ES,F,2023,78819.0,2635754,482733.0,0.05236020624604286,0.048662907173132375,1512.3062,1.9187076720080183
ES,J,2014,35981.0,726231,105019.0,0.09378528975353091,-0.01364884126722099,759.06835,2.109636613768378
ES,J,2015,36794.0,771719,108985.0,0.09095955445278675,-0.03012983494714616,766.05429,2.082008724248519
ES,J,2016,37624.0,802290,112900.0,0.08957234433289217,-0.015250845589999229,862.13661,2.2914538858175635
ES,J,2017,39885.0,857686,114732.0,0.090319955515258,0.0083464509937059,945.86421,2.3714785257615643
ES,J,2018,40648.0,891062,115100.0,0.08962847694445726,-0.00765587811526236,939.1312399999999,2.3103996260578628
ES,J,2019,42675.0,911392,115926.0,0.09246797712044787,0.03168078129621943,930.5116700000001,2.180460855301699
ES,J,2020,40487.0,904662,119738.0,0.08722745157329817,-0.056673950380935034,820.8807800000001,2.0275169313606836
ES,J,2021,43558.0,976334,126744.0,0.08751267285507225,0.0032698568699374153,865.4641899999999,1.9869236190826023
ES,J,2022,49632.0,1082700,131042.0,0.09202288724737506,0.051537842979291426,1050.14879,2.115870386041264
ES,J,2023,55845.0,1125759,137192.0,0.09935674583718719,0.07969602790333363,1071.59457,1.9188728982003762
ES,K,2014,36682.0,595672,54435.0,0.1356308166650416,0.10185909913422986,40.27471,0.1097942042418625
ES,K,2015,37138.0,582200,56145.0,0.1380217338293485,0.017628126284984225,62.97681,0.16957512520868115
ES,K,2016,39036.0,592569,57668.0,0.1421090427608386,0.029613516785289118,251.65944,0.6446855210574854
ES,K,2017,40551.0,586494,57652.0,0.14866071920012602,0.04610316354261501,352.19038,0.8685121945204803
ES,K,2018,44539.0,586525,55503.0,0.16533471722969817,0.11216142447909005,232.36635,0.521714340241137
ES,K,2019,43851.0,605510,53174.0,0.1616134264384029,-0.02250761880897223,36.26874,0.08270903742217967
ES,K,2020,45965.0,603287,55184.0,0.16775592118796906,0.038007329495654885,46.959720000000004,0.10216408136625695
ES,K,2021,46505.0,614290,56461.0,0.16642264247365657,-0.007947729682927673,92.9693,0.19991248252876037
ES,K,2022,52948.0,582298,60168.0,0.1923142963623057,0.15557771168516088,417.19565,0.7879346717534184
